,epoch,train_loss,val_loss,val_acc,val_iou
0,0.0,0.4716155963411592,0.3780529462379727,0.838248074054718,0.6413261294364929
1,1.0,0.3697289607978751,0.3142188986453709,0.8665710687637329,0.6921928524971008
2,2.0,0.31915575830052034,0.28728464350189875,0.8732513189315796,0.6970856189727783
3,3.0,0.29326822083914866,0.27528271094555634,0.8883129358291626,0.7350278496742249
4,4.0,0.27448451485534375,0.26139223330065703,0.893105685710907,0.7454280853271484
5,5.0,0.2596825450567456,0.2910565158385155,0.8923413753509521,0.7518683671951294
6,6.0,0.2405115268501782,0.2299224656570687,0.9028255939483643,0.7655707597732544
7,7.0,0.2357565096796846,0.24752411578978037,0.9049549102783203,0.7784871459007263
8,8.0,0.2223145387980681,0.25294637805416703,0.9024552702903748,0.7735159993171692
9,9.0,0.20866122224222675,0.2183610130268565,0.9117563962936401,0.7835197448730469
10,10.0,0.19431968745895015,0.2156121348666086,0.9136186242103577,0.7910320162773132
11,11.0,0.18461675316344778,0.21717668969576032,0.9079340100288391,0.7755094170570374
12,12.0,0.17704523475809933,0.2155401925898169,0.9178759455680847,0.7995048761367798
13,13.0,0.16170222485142982,0.21268357027377136,0.9191824197769165,0.803917407989502
14,14.0,0.15663277624726216,0.22431501468243778,0.9187625646591187,0.8037853240966797
15,15.0,0.14823635162764096,0.21611143117894552,0.9160103797912598,0.7963985800743103
16,16.0,0.13929903559325968,0.22398943802784288,0.9189990758895874,0.8038073778152466
17,17.0,0.12765179665808113,0.21950157546856106,0.916753351688385,0.7991772890090942
18,18.0,0.13391155311069255,0.28401664021598894,0.9029444456100464,0.7773526906967163
19,19.0,0.12236202951183076,0.23095770584123093,0.9173922538757324,0.798627495765686
