,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,1851.027351,0.553495088,1850.473856,,0.502457458,0.750965357,0.474937171
1,1,1252.884119,0.491577808,1252.392541,,0.455380969,0.787598431,0.523123682
2,2,1099.677568,0.470001897,1099.207566,,0.450814453,0.789996743,0.535887301
3,3,936.1507384,0.446976122,935.7037623,,0.422863753,0.8111009,0.570670605
4,4,800.7423476,0.418578485,800.3237691,,0.411907383,0.81492424,0.58330816
5,5,694.3738814,0.396511482,693.97737,,0.366097918,0.836187124,0.616074145
6,6,604.03844,0.381790695,603.6566493,,0.351422971,0.850539863,0.654548049
7,7,513.5810165,0.365401111,513.2156153,,0.388587068,0.832093596,0.616999686
8,8,440.1905842,0.359113921,439.8314703,,0.337322376,0.856233537,0.671226621
9,9,362.5259956,0.346836937,362.1791587,,0.325856848,0.858247101,0.665148139
10,10,293.353046,0.336622919,293.0164231,,0.328743948,0.864472687,0.686884284
11,11,260.726083,0.334009856,260.3920731,,0.32186909,0.868392766,0.696600318
12,12,229.2888447,0.327074543,228.9617702,,0.304182805,0.873668671,0.705804288
13,13,185.7719309,0.31727693,185.454654,,0.3084679,0.86381048,0.678977251
14,14,167.6039182,0.310734921,167.2931833,,0.306558609,0.875533938,0.704140186
15,15,146.1334278,0.306146793,145.827281,,0.294398837,0.878060043,0.712000668
16,16,134.2928586,0.300847787,133.9920108,,0.297649736,0.876561046,0.710392177
17,17,122.2801575,0.297985274,121.9821722,,0.293363319,0.875946224,0.709836304
18,18,107.9753984,0.291806851,107.6835915,,0.291482763,0.879315972,0.717166722
19,19,95.88029323,0.283170779,95.59712245,,0.299498696,0.882158816,0.722041368
20,20,108.3021444,0.285823143,108.0163212,,0.285068531,0.879608572,0.713152468
21,21,97.39922308,0.278548113,97.12067496,,0.284567469,0.882459402,0.725004554
22,22,83.80846041,0.272701635,83.53575877,,0.279368764,0.879908323,0.712042868
23,23,77.55677168,0.269071271,77.28770041,,0.265198677,0.890188158,0.737449288
24,24,70.94257063,0.265804231,70.6767664,,0.283830503,0.874963522,0.698872745
25,25,76.33941733,0.265461937,76.07395539,,0.273752303,0.88738203,0.730787694
26,26,67.84188237,0.257296808,67.58458556,,0.271770554,0.87969178,0.707025886
27,27,63.8470623,0.255066322,63.59199598,,0.271474951,0.891336858,0.741784096
28,28,59.81038954,0.247440305,59.56294924,,0.31283476,0.882201195,0.734380543
29,29,57.18753505,0.248160522,56.93937453,,0.273289549,0.891612828,0.743828833
